ï»¿faction_id|id|name|type|cp_cost|legend|turn|phase|detachment|description|
AC|000009274002|BLADES OF THE VIGILATORS|Black Ship Guardians â Battle Tactic Stratagem|1|Though intended for lopping the heads from witches, the Vigilators' long blades also allow for skilful parrying of incoming attacks.|Either playerâs turn|Fight phase|Black Ship Guardians|<b>WHEN:</b> <a href="/wh40k10ed/the-rules/boarding-action-rules/#Fight-Phase">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Vigilators"><span class="kwb kwbo">VIGILATORS</span></a>, <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Aleya"><span class="kwb kwbo">ALEYA</span></a> or <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Knight-centura"><span class="kwb kwbo">KNIGHT-CENTURA</span></a> equipped with an executioner greatblade unit from your army that was selected as the target of one or more of the attacking unitâs attacks.<br><br><b>EFFECT:</b> Until the end of the phase, each time an attack targets your unit, subtract 1 from the <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a>.|
AC|000009274003|FOCUSED FEAR|Black Ship Guardians â Battle Tactic Stratagem|1|Fighting in the confines of a voidship heightens the fearful aura of the Sisters of Silence, fouling their foes'aim and weakening their sword arms.|Either playerâs turn|Shooting or Fight phase|Black Ship Guardians|<b>WHEN:</b> Your opponentâs <a href="/wh40k10ed/the-rules/boarding-action-rules/#Shooting-Phase">Shooting phase</a> or the <a href="/wh40k10ed/the-rules/boarding-action-rules/#Fight-Phase">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class="tooltip00305" data-tooltip-content="#tooltip_content00305" data-tooltip-anchor="#tooltip_content00305"><span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span></span> unit from your army that was selected as the target of one or more of the attacking unitâs attacks.<br><br><b>EFFECT:</b> Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.|
AC|000009274005|PUNISHMENT OF THE PROSECUTORS|Black Ship Guardians â Battle Tactic Stratagem|1|The Prosecutors cut down without mercy all who dare stand between the Silent Sisters and their prey.|Your turn|Shooting phase|Black Ship Guardians|<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/boarding-action-rules/#Shooting-Phase">Shooting phase</a>.<br><br><b>TARGET:</b> One <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Prosecutors"><span class="kwb kwbo">PROSECUTORS</span></a> unit from your army that has not been selected to shoot this phase.<br><br><b>EFFECT:</b> Until the end of the phase, improve the Armour Penetration characteristic of ranged weapons equipped by models in your unit by 1. In addition, each time a model in your unit makes a ranged attack, on a <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Critical Wound</a>, improve the Armour Penetration characteristic of that attack by an additional 1.|
AC|000009274004|CORNERED PREY|Black Ship Guardians â Strategic Ploy Stratagem|1|Once they have their quarry trapped within a section of the voidship, the Silent Sisters relentlessly run them to ground.|Your turn|Movement phase|Black Ship Guardians|<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/boarding-action-rules/#Movement-Phase">Movement phase</a>, just after an <span class="tooltip00305" data-tooltip-content="#tooltip_content00305" data-tooltip-anchor="#tooltip_content00305"><span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span></span> unit from your army <a href="/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves">Falls Back</a>.<br><br><b>TARGET:</b> That <span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span> unit.<br><br><b>EFFECT:</b> Until the end of the turn, your unit is eligible to shoot and <a href="/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE">declare a charge</a> in a turn in which it <a href="/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves">Fell Back</a>.|
AC|000009988004|PEERLESS WARRIOR|Lions of the Emperor â Battle Tactic Stratagem|1|With every strike, the Lions of the Emperor prove themselves the masters of single combat, even when engaging the mightiest foes.|Either playerâs turn|Fight phase|Lions of the Emperor|<b>WHEN:</b> <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>.<br><br><b>TARGET:</b> One <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> unit from your army that has not been selected to fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, melee weapons equipped by models in your unit have the <span class="kwb2 bluefont"><a href="/wh40k10ed/the-rules/core-rules/#Precision">[PRECISION]</a></span> ability.|
AC|000009988003|DEFIANT TO THE LAST|Lions of the Emperor â Strategic Ploy Stratagem|1|The harder the battle, and the heavier their losses, the more resolute the Lions of the Emperor become.|Either playerâs turn|Fight phase|Lions of the Emperor|<b>WHEN:</b> <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> unit from your army that was selected as the target of one or more of the attacking unitâs attacks.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit is destroyed, if that model has not fought this phase, roll one D6, adding 2 to the result if that model has the <span class="kwb">CHARACTER</span> keyword. On a 4+, do not remove it from play; the destroyed model can fight after the attacking unit has finished making its attacks (when doing so, it is treated as having 1 wound remaining), and is then removed from play.|
AC|000009988007|SWIFT AS THE EAGLE|Lions of the Emperor â Strategic Ploy Stratagem|1|Although every Custodian is devastatingly fast on the battlefield, with preternatural reactions to match, the Lions of the Emperor are outstanding even among their peers.|Opponentâs turn|Shooting phase|Lions of the Emperor|<b>WHEN:</b> Your opponentâs <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, just after an enemy unit has shot.<br><br><b>TARGET:</b> One <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> unit from your army (excluding <span class="kwb">VEHICLE</span> units) that was selected as the target of one or more of the attacking unitâs attacks.<br><br><b>EFFECT:</b> Your unit can make a <a href="/wh40k10ed/the-rules/core-rules/#Normal-Moves">Normal move</a> of up to D6".|
AC|000009988006|MANOEUVRE AND FIRE|Lions of the Emperor â Strategic Ploy Stratagem|1|The Adeptus Custodes are unrelenting in their advance, laying down punishing fire even as they manoeuvre to new positions.|Your turn|Movement phase|Lions of the Emperor|<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, just after an <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> unit from your army <a href="/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves">Falls Back</a>.<br><br><b>TARGET:</b> That <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> unit.<br><br><b>EFFECT:</b> Until the end of the turn, your unit is eligible to shoot and <a href="/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE">declare a charge</a> in a turn in which it Fell Back.|
AC|000009988005|UNLEASH THE LIONS|Lions of the Emperor â Strategic Ploy Stratagem|1|Heroic bands of Terminator-armoured Custodians engage entire armies in unrelenting battle.|Your turn|Command phase|Lions of the Emperor|<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>.<br><br><b>TARGET:</b> One <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Allarus-Custodians"><span class="kwb kwbo">ALLARUS</span> <span class="kwb kwbo">CUSTODIANS</span></a> or <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Aquilon-Custodians"><span class="kwb kwbo">AQUILON</span> <span class="kwb kwbo">CUSTODIANS</span></a> unit from your army that is on the battlefield.<br><br><b>EFFECT:</b> That unit is split into separate units, each containing one model. These new units each have a <a href="/wh40k10ed/the-rules/core-rules/#Starting-Strength">Starting Strength</a> of 1.|
AC|000009988002|GILDED CHAMPION|Lions of the Emperor â Strategic Ploy Stratagem|1|The shining champions of the Adeptus Custodes are looked upon in awe by all who witness their grim arts. Their judgement is without flaw, and their tactical acumen utterly impeccable.|Either playerâs turn|Any phase|Lions of the Emperor|<b>WHEN:</b> Any phase, just after an <span class="tooltip00507" data-tooltip-content="#tooltip_content00507" data-tooltip-anchor="#tooltip_content00507"><span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">CHARACTER</span></span> model from your army has used an ability on its <a href="/wh40k10ed/the-rules/core-rules/#Datasheets-1">datasheet</a> that states it can only be used âonce per battleâ.<br><br><b>TARGET:</b> That <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">CHARACTER</span> model.<br><br><b>EFFECT:</b> Your model can use that âonce per battleâ ability one additional time during the battle (but not in the same phase).<br><br><b>RESTRICTIONS:</b> You cannot use this <a href="/wh40k10ed/the-rules/core-rules/#Stratagems">Stratagem</a> on the same <span class="kwb">ADEPTUS</span> <span class="kwb">CUSTODES</span> <span class="kwb">CHARACTER</span> model more than once per battle.|
AC|000008927003|WITCH HUNTERS|Null Maiden Vigil â Battle Tactic Stratagem|1|Null Maidens train to slay psykers with swift martial efficiency, for they know their prey have many weapons beyond just their powers and must not be allowed time or opportunity to employ them.|Either playerâs turn|Shooting or Fight phase|Null Maiden Vigil|<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a> or the <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>.<br><br><b>TARGET:</b> One <span class="tooltip00305" data-tooltip-content="#tooltip_content00305" data-tooltip-anchor="#tooltip_content00305"><span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span></span> unit from your army that has not been selected to shoot or fight this phase.<br><br><b>EFFECT:</b> Select either the <span class="kwb2 bluefont"><a href="/wh40k10ed/the-rules/core-rules/#Lethal-Hits">[LETHAL HITS]</a></span> or <span class="kwb2 bluefont"><a href="/wh40k10ed/the-rules/core-rules/#Sustained-Hits">[SUSTAINED HITS 1]</a></span> ability. Until the end of the phase, weapons equipped by models in your unit have the selected ability, but models in your unit can only target <span class="kwb">PSYKER</span> units with their attacks.|
AC|000008927004|ANATHEMA BLADEMASTERY|Null Maiden Vigil â Battle Tactic Stratagem|1|The Vigilators train tirelessly in the art of the swift, beheading strike, with a particular emphasis on the swift elimination of enemy witches.|Either playerâs turn|Fight phase|Null Maiden Vigil|<b>WHEN:</b> <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>.<br><br><b>TARGET:</b> One <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Vigilators"><span class="kwb kwbo">VIGILATORS</span></a> unit from your army that has not been selected to fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes a melee attack, you can re-roll the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a> If the target of that attack is <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shocked</a> or a <span class="kwb">PSYKER</span>, you can re-roll the <a href="/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll">Wound roll</a> as well.|
AC|000008927006|PURGATION SWEEP|Null Maiden Vigil â Battle Tactic Stratagem|1|Witchseekers know their role in combat is to spread indiscriminate carnage through the foeâs ranks.|Your turn|Shooting phase|Null Maiden Vigil|<b>WHEN:</b> Your <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>.<br><br><b>TARGET:</b> One <a class="kwbOne" href="/wh40k10ed/factions/adeptus-custodes/Witchseekers"><span class="kwb kwbo">WITCHSEEKERS</span></a> unit from your army that has not been selected to shoot this phase.<br><br><b>EFFECT:</b> Until the end of the phase, add 1 to the Attacks characteristic of <a href="/wh40k10ed/the-rules/core-rules/#Torrent">Torrent</a> weapons equipped by models in your unit. If such a weapon targets a <span class="kwb">PSYKER</span> or <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shocked</a> unit this phase, add 2 to its Attacks characteristic instead.|
AC|000008927002|DESPERATIONâS PRICE|Null Maiden Vigil â Strategic Ploy Stratagem|1|To overcome the Null Maidensâ aura, enemy psykers overstretch themselves with horrible consequences.|Either playerâs turn|Any phase|Null Maiden Vigil|<b>WHEN:</b> Any phase, just after an enemy <span class="kwb">PSYKER</span> unit has either finished using a Psychic ability that targets a unit, or finished making <a href="/wh40k10ed/the-rules/core-rules/#Psychic-Weapons-and-Abilities">Psychic Attacks</a>.<br><br><b>TARGET:</b> One <span class="tooltip00305" data-tooltip-content="#tooltip_content00305" data-tooltip-anchor="#tooltip_content00305"><span class="kwb">ANATHEMA</span> <span class="kwb">PSYKANA</span></span> unit from your army within 18" of that enemy <span class="kwb">PSYKER</span> unit.<br><br><b>EFFECT:</b> That enemy <span class="kwb">PSYKER</span> unit must take a <a href="/wh40k10ed/the-rules/core-rules/#Leadership-Tests">Leadership test</a> If the test is passed, that <span class="kwb">PSYKER</span> unit is <a href="/wh40k10ed/the-rules/core-rules/#2.-Battle-shock">Battle-shocked</a>; if the test is failed that <span class="kwb">PSYKER</span> unit suffers 3 <a href="/wh40k10ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> and is Battle-shocked.|
